<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.07.21	1.30691	1.31003	1.30233	1.30720	107602	0	0
2016.07.22	1.30730	1.31846	1.30553	1.31462	90934	0	0
2016.07.24	1.31246	1.31488	1.31246	1.31359	4413	0	0
2016.07.25	1.31354	1.32413	1.31229	1.32222	76746	0	0
2016.07.26	1.32220	1.32434	1.31692	1.31737	96679	0	0
2016.07.27	1.31739	1.32519	1.31323	1.31384	111942	0	0
2016.07.28	1.31345	1.31913	1.31005	1.31513	99056	0	0
2016.07.29	1.31525	1.31856	1.30011	1.30556	114850	0	0
2016.07.31	1.30271	1.30619	1.30271	1.30590	4332	0	0
2016.08.01	1.30587	1.31300	1.30272	1.31231	90929	0	0
2016.08.02	1.31236	1.31409	1.30044	1.31049	111127	0	0
2016.08.03	1.31057	1.31471	1.30609	1.30719	96490	0	0
2016.08.04	1.30716	1.30884	1.29954	1.30152	94252	0	0
2016.08.05	1.30158	1.31994	1.30082	1.31756	93026	0	0
2016.08.07	1.31782	1.31887	1.31713	1.31819	4424	0	0
2016.08.08	1.31823	1.31874	1.31354	1.31550	73095	0	0
2016.08.09	1.31551	1.31892	1.31084	1.31172	81530	0	0
2016.08.10	1.31173	1.31175	1.29894	1.30578	106373	0	0
2016.08.11	1.30570	1.30791	1.29572	1.29861	98440	0	0
2016.08.12	1.29859	1.29922	1.29234	1.29576	89112	0	0
2016.08.14	1.29507	1.29664	1.29474	1.29582	2803	0	0
2016.08.15	1.29584	1.29747	1.29010	1.29281	77523	0	0
2016.08.16	1.29279	1.29330	1.27980	1.28654	120620	0	0
2016.08.17	1.28649	1.29172	1.28303	1.28437	122260	0	0
2016.08.18	1.28436	1.28527	1.27630	1.27769	123625	0	0
2016.08.19	1.27770	1.28910	1.27768	1.28649	107247	0	0
2016.08.21	1.28832	1.28954	1.28749	1.28896	2763	0	0
2016.08.22	1.28895	1.29646	1.28892	1.29398	107606	0	0
2016.08.23	1.29407	1.29408	1.28581	1.29195	104016	0	0
2016.08.24	1.29194	1.29569	1.29008	1.29322	109523	0	0
2016.08.25	1.29320	1.29387	1.28980	1.29135	88710	0	0
2016.08.26	1.29157	1.30110	1.28305	1.30036	117342	0	0
2016.08.28	1.29935	1.30165	1.29877	1.30161	4961	0	0
2016.08.29	1.30163	1.30469	1.29960	1.30130	106338	0	0
2016.08.30	1.30119	1.31028	1.30090	1.30865	96219	0	0
2016.08.31	1.30863	1.31448	1.30791	1.31102	112170	0	0
2016.09.01	1.31102	1.31471	1.30818	1.30934	105324	0	0
2016.09.02	1.30934	1.31137	1.29814	1.29853	117661	0	0
2016.09.04	1.29828	1.29950	1.29811	1.29944	4151	0	0
2016.09.05	1.29945	1.29947	1.29058	1.29300	78895	0	0
2016.09.06	1.29306	1.29311	1.28261	1.28483	94472	0	0
2016.09.07	1.28482	1.29136	1.28218	1.28829	94798	0	0
2016.09.08	1.28832	1.29385	1.28502	1.29215	109230	0	0
2016.09.09	1.29225	1.30523	1.29097	1.30462	102088	0	0
2016.09.11	1.30446	1.30658	1.30277	1.30483	6300	0	0
2016.09.12	1.30517	1.31227	1.30302	1.30305	127718	0	0
2016.09.13	1.30299	1.31892	1.30289	1.31576	134740	0	0
2016.09.14	1.31594	1.32078	1.31273	1.31930	114148	0	0
2016.09.15	1.31927	1.32351	1.31299	1.31568	126001	0	0
2016.09.16	1.31581	1.32473	1.31411	1.32157	112703	0	0
2016.09.18	1.32178	1.32231	1.31932	1.31999	4096	0	0
2016.09.19	1.31995	1.32108	1.31346	1.32019	94264	0	0
2016.09.20	1.32020	1.32421	1.31804	1.31816	113318	0	0
2016.09.21	1.31808	1.32371	1.30734	1.30819	139828	0	0
2016.09.22	1.30814	1.30859	1.29993	1.30479	109099	0	0
2016.09.23	1.30494	1.31801	1.30289	1.31638	112317	0	0
2016.09.25	1.31577	1.31785	1.31498	1.31508	6672	0	0
2016.09.26	1.31500	1.32429	1.31352	1.32283	100257	0	0
2016.09.27	1.32279	1.32802	1.31629	1.32091	128137	0	0
2016.09.28	1.32098	1.32686	1.30515	1.30648	138919	0	0
2016.09.29	1.30635	1.31833	1.30473	1.31525	161270	0	0
2016.09.30	1.31531	1.31942	1.30857	1.31157	125064	0	0
